!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
106	656.55	1.714E-004	1.78	356.400	0	26027.13	2.08	26179.47	4.47
107	659.89	1.745E-004	1.78	355.600	0	25824.97	2.45	25982.73	3.65
108	663.23	1.773E-004	1.78	356.700	0	25657.20	1.98	25823.80	4.53
109	666.57	1.798E-004	1.78	358.000	0	25574.20	2.86	25729.73	3.55
110	669.90	1.826E-004	1.78	356.700	0	25424.13	2.03	25575.13	3.97
111	673.24	1.852E-004	1.78	358.600	0	25297.77	2.10	25460.80	5.32
112	676.58	1.873E-004	1.78	361.000	0	25235.83	1.67	25402.07	4.00
113	679.91	1.896E-004	1.78	357.800	0	25190.30	2.27	25346.93	5.10
114	683.25	1.914E-004	1.78	357.200	0	25179.27	1.90	25335.07	4.52
115	686.58	1.929E-004	1.78	356.200	0	25179.73	2.47	25341.60	4.36
116	689.91	1.945E-004	1.78	354.400	0	25202.77	2.91	25353.93	3.10
117	693.25	1.968E-004	1.78	353.700	0	25143.47	2.44	25289.47	3.75
118	696.58	1.982E-004	1.78	352.400	0	25178.60	2.94	25324.73	5.93
119	699.91	2.003E-004	1.78	352.800	0	25104.37	2.24	25263.53	4.95
120	703.24	2.029E-004	1.78	351.900	0	24979.37	1.96	25135.33	3.72
121	706.58	2.052E-004	1.78	351.700	0	24912.80	1.99	25054.40	4.00
122	709.91	2.068E-004	1.78	353.400	0	24901.87	1.80	25041.00	4.86
123	713.24	2.077E-004	1.78	353.600	0	24941.07	2.12	25094.80	4.28
124	716.56	2.080E-004	1.78	352.000	0	25078.83	1.82	25232.20	5.24
125	719.89	2.079E-004	1.78	356.100	0	25275.20	2.08	25426.13	3.62
126	723.22	2.072E-004	1.78	356.700	0	25504.50	2.06	25669.27	5.66
127	726.55	2.063E-004	1.77	359.000	0	25747.63	2.20	25937.20	3.15
128	729.87	2.056E-004	1.77	356.900	0	26017.17	2.35	26201.20	3.63
129	733.20	2.050E-004	1.77	356.600	0	26269.20	2.45	26447.20	3.96
130	736.52	2.045E-004	1.78	359.300	0	26464.57	2.95	26662.33	5.45
131	739.85	2.050E-004	1.78	362.300	0	26551.73	1.83	26754.53	5.10
132	743.17	2.061E-004	1.77	354.100	0	26579.87	1.89	26777.07	4.54
133	746.49	2.074E-004	1.77	360.000	0	26556.83	2.78	26751.27	4.24
134	749.82	2.092E-004	1.77	357.900	0	26458.47	3.47	26657.67	4.52
135	753.14	2.112E-004	1.77	359.600	0	26355.83	2.87	26554.00	5.06
136	756.46	2.132E-004	1.77	353.500	0	26259.93	1.99	26452.73	5.31
137	759.78	2.153E-004	1.77	351.600	0	26179.67	3.03	26352.33	5.63
138	763.09	2.168E-004	1.77	354.400	0	26110.63	2.25	26297.80	4.63
139	766.41	2.184E-004	1.77	355.900	0	26048.07	1.97	26235.07	4.01
140	769.73	2.204E-004	1.77	353.300	0	25961.07	2.16	26139.40	4.28
141	773.05	2.221E-004	1.77	352.900	0	25870.17	2.27	26046.13	4.03
142	776.36	2.236E-004	1.77	357.600	0	25770.50	1.96	25961.47	4.34
143	779.67	2.250E-004	1.77	355.200	0	25714.73	2.33	25902.27	3.71
144	782.99	2.276E-004	1.77	354.200	0	25550.40	2.32	25730.47	5.71
